,Date,Wins,Losses,Draws,Current lose streak,Current win streak,Average significant strikes landed,Average significant strike %,Average submissions attempted,Average takedowns landed,Average takedown %,Longest win streak,Total rounds fought,Total title bouts,Wins by majority decision,Wins by split decision,Wins by unanimous decision,Wins by KO/TKO,Wins by Submission,Wins by Doctor Stoppage,Age,Stance,Height (cm),Reach (cm),Win ratio,Total fights,location,country
Aaron Phillips,2020-07-15,0,2,0,2,0,1.87,0.59,0.5,0.0,0.0,0,6,0,0,0,0,0,0,0,30,Southpaw,175.26,177.8,0.0,2,"Lafayette, LA USA",USA
Abdul Razak Alhassan,2021-08-28,4,4,0,3,0,3.71,0.48,0.0,0.53,0.28,3,14,0,0,0,0,4,0,0,36,Orthodox,177.8,185.42,0.5,8,"Fort Worth, Texas USA",USA
Abel Trujillo,2017-12-16,6,4,0,1,0,24.4,0.372,0.3,1.4,0.543,3,21,0,0,0,1,3,1,0,34,Orthodox,172.72,177.8,0.6,10,"Boca Raton, Florida USA",USA
Adam Milstead,2018-12-15,1,2,0,2,0,39.0,0.643333333,0.0,0.0,0.0,1,7,0,0,0,0,1,0,0,31,Orthodox,190.5,193.04,0.3333333333333333,3,"Pittsburgh, Pennsylvania USA",USA
Adriano Martins,2017-09-09,4,2,0,1,0,14.5,0.443333333,0.166666667,0.666666667,0.291666667,3,11,0,0,1,0,2,1,0,34,Southpaw,177.8,182.88,0.6666666666666666,6,"Manaus, Amazonas Brazil",Brazil
Aiemann Zahabi,2021-02-20,2,2,0,0,1,2.82,0.4,0.0,0.33,0.16,1,1,0,0,0,0,0,0,0,33,Orthodox,172.72,172.72,0.5,4,"Montreal, Quebec Canada",Canada
Aisling Daly,2015-10-24,1,1,0,1,0,21.5,0.51,1.0,1.5,0.45,1,4,0,0,0,0,0,1,0,27,Switch,157.48,162.56,0.5,2,Dublin Ireland,Ireland
Akbarh Arreola,2015-11-14,1,2,0,1,0,25.33333333,0.44,0.333333333,1.0,0.666666667,1,7,0,0,0,0,0,1,0,32,Southpaw,177.8,180.34,0.3333333333333333,3,"Tijuana, Baja California Mexico",Mexico
Akira Corassani,2015-01-24,3,2,0,2,0,25.8,0.452,0.0,0.4,0.066,3,10,0,0,1,1,0,0,0,32,Orthodox,172.72,172.72,0.6,5,"Brooklyn, New York USA",USA
Al Iaquinta,2019-10-05,9,4,0,1,0,4.06,0.4,0.2,0.64,0.18,5,38,1,0,1,4,4,0,0,32,Orthodox,177.8,177.8,0.6923076923076923,13,"Wantagh, New York USA",USA
Alan Jouban,2019-04-13,7,4,0,0,1,42.81818182,0.542727273,0.0,0.272727273,0.127272727,3,21,0,0,0,3,4,0,0,37,Southpaw,182.88,185.42,0.6363636363636364,11,"Los Angeles, California USA",USA
Alan Patrick,2020-09-12,5,2,0,1,0,1.88,0.43,0.4,3.92,0.4,3,18,0,0,0,4,1,0,0,37,Southpaw,180.34,187.96,0.7142857142857143,7,Rio de Janeiro Brazil,Brazil
Albert Morales,2017-07-16,1,2,0,0,1,51.0,0.333333333,0.0,0.666666667,0.276666667,1,8,0,0,1,0,0,0,0,26,Orthodox,175.26,182.88,0.3333333333333333,3,"Reseda, California USA",USA
Albert Tumenov,2016-10-08,5,2,0,1,0,35.28571429,0.414285714,0.0,0.142857143,0.142857143,5,14,0,0,1,1,3,0,0,24,Orthodox,180.34,185.42,0.7142857142857143,7,"Fairfield, New Jersey USA",USA
Alberto Mina,2018-05-12,3,0,0,0,3,39.66666667,0.466666667,0.0,1.333333333,0.376666667,3,6,0,0,1,0,2,0,0,36,Orthodox,182.88,195.58,1.0,3,Hong Kong China,China
Alejandro Perez,2021-10-02,7,3,1,2,0,3.45,0.35,0.4,0.61,0.23,4,25,0,0,1,3,3,0,0,32,Orthodox,167.64,165.1,0.6363636363636364,11,"San Jose, California USA",USA
Aleksei Oleinik,2021-06-19,8,6,0,2,0,3.55,0.5,2.2,2.16,0.46,2,22,0,0,1,0,1,6,0,43,Orthodox,187.96,203.2,0.5714285714285714,14,Moscow Russia,Russia
