,Winner,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_age,B_age
0,Red,0,1,0,3.42,0.59,0.7,0.24,1.0,4,2,11,0,0,0,1,4,0,0,5,Orthodox,198.12,208.28,3,0,0,3.95,0.48,0.1,0.61,0.36,4,8,43,1,0,0,2,11,0,0,13,Orthodox,187.96,193.04,37,29
1,Blue,2,0,0,5.16,0.42,0.8,0.79,0.22,2,5,24,0,0,0,0,4,2,0,6,Orthodox,182.88,193.04,2,0,0,2.97,0.51,0.5,2.27,0.37,4,8,44,0,0,1,3,4,3,0,11,Orthodox,180.34,193.04,33,32
2,Blue,1,0,0,2.92,0.41,0.1,1.15,0.34,5,5,38,0,0,2,6,1,0,0,9,Southpaw,185.42,195.58,1,0,0,3.77,0.49,1.7,4.48,0.44,4,4,13,0,0,0,0,1,5,0,6,Orthodox,190.5,195.58,34,32
3,Red,1,0,0,4.04,0.34,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,1,0,0,3.79,0.36,0.0,1.57,0.35,2,3,15,0,0,0,2,2,0,0,4,Orthodox,175.26,182.88,29,32
4,Blue,0,2,0,5.22,0.56,0.0,2.54,0.39,2,3,19,0,0,0,4,1,0,0,5,Orthodox,175.26,172.72,0,4,0,2.64,0.62,0.6,2.85,0.52,4,0,8,0,0,0,2,0,2,0,4,Orthodox,175.26,177.8,28,33
5,Blue,0,2,0,5.48,0.56,1.4,3.83,0.5,2,0,5,0,0,0,0,1,1,0,2,Orthodox,167.64,175.26,1,0,0,3.89,0.56,0.5,0.51,0.5,2,3,17,0,0,0,1,2,1,0,4,Southpaw,172.72,170.18,36,23
6,Blue,0,3,0,7.88,0.54,0.0,1.5,0.5,3,0,9,0,0,1,2,0,0,0,3,Orthodox,165.1,170.18,1,0,1,4.37,0.43,0.0,0.39,0.18,3,5,30,1,0,2,2,1,0,0,5,Orthodox,165.1,162.56,38,26
7,Blue,0,1,0,3.03,0.4,0.4,3.5,0.32,1,2,7,0,0,0,0,1,0,0,1,Orthodox,182.88,187.96,0,1,0,5.1,0.52,0.5,0.53,1.0,3,1,6,0,0,0,0,4,0,0,4,Orthodox,175.26,193.04,28,27
8,Red,1,0,0,0.99,0.55,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,Orthodox,170.18,165.1,1,0,0,3.79,0.38,0.0,0.69,0.5,2,4,22,0,0,0,3,1,0,0,4,Orthodox,170.18,172.72,36,29
9,Red,2,0,0,3.04,0.53,1.0,0.0,0.0,0,2,5,0,0,0,0,0,0,0,0,Orthodox,170.18,165.1,1,0,0,1.74,0.52,0.0,2.01,0.3,0,1,3,0,0,0,0,0,0,0,0,Orthodox,167.64,172.72,33,30
10,Red,2,0,0,2.95,0.39,0.4,0.22,0.2,2,4,14,0,0,0,1,2,0,0,3,Orthodox,170.18,180.34,2,0,1,3.45,0.35,0.4,0.61,0.23,4,3,25,0,0,1,3,3,0,0,7,Orthodox,167.64,165.1,32,43
11,Red,0,1,0,4.15,0.38,1.2,0.87,0.24,6,1,25,1,0,0,1,3,3,0,7,Switch,172.72,175.26,0,9,0,6.42,0.56,0.3,1.77,0.34,9,0,28,2,0,1,5,3,0,0,9,Orthodox,167.64,180.34,32,30
12,Red,0,5,0,3.58,0.38,0.1,1.03,0.34,5,4,32,0,0,3,1,2,1,0,7,Orthodox,165.1,170.18,0,7,0,3.21,0.52,0.3,2.62,0.64,7,2,42,7,0,1,4,3,2,0,10,Southpaw,165.1,167.64,33,38
13,Blue,4,0,0,3.73,0.46,0.0,0.66,0.64,5,14,91,5,0,3,4,12,0,0,19,Southpaw,180.34,187.96,2,0,0,5.71,0.42,1.0,1.28,0.32,11,7,70,2,0,1,2,10,6,0,19,Southpaw,185.42,193.04,38,39
14,Red,0,1,0,2.8,0.46,0.0,0.0,0.0,4,2,18,0,0,0,0,6,0,0,6,Orthodox,187.96,198.12,1,0,0,3.44,0.51,0.0,6.27,0.53,5,3,32,0,0,0,4,5,0,0,9,Orthodox,193.04,203.2,30,33
15,Red,1,0,1,4.24,0.41,1.1,1.77,0.44,3,2,25,0,0,0,3,0,3,0,6,Orthodox,162.56,162.56,1,0,0,6.24,0.5,0.4,2.9,0.55,4,7,42,4,0,1,5,4,2,0,12,Orthodox,154.94,157.48,30,34
16,Blue,0,6,0,4.26,0.41,0.3,7.3,0.45,6,2,24,0,0,0,6,0,0,0,6,Orthodox,167.64,172.72,2,0,0,3.34,0.4,0.4,0.89,0.41,4,4,18,1,0,2,0,2,1,0,5,Orthodox,167.64,170.18,33,30
17,Red,0,2,0,5.19,0.46,0.0,0.16,0.14,3,2,18,0,0,0,4,1,0,0,5,Southpaw,177.8,182.88,2,0,0,4.95,0.48,0.2,0.91,0.36,4,6,38,0,0,1,1,6,2,0,10,Switch,182.88,190.5,31,26
18,Blue,0,3,0,9.03,0.53,0.0,0.0,0.0,3,0,3,0,0,0,0,3,0,0,3,Orthodox,190.5,193.04,1,0,0,2.53,0.43,0.2,1.14,0.24,3,3,19,0,0,1,2,2,0,0,5,Orthodox,190.5,193.04,40,32
19,Blue,0,2,0,3.55,0.5,0.8,2.6,0.86,2,1,12,0,0,0,3,0,0,0,3,Orthodox,167.64,172.72,1,0,0,2.97,0.3,0.1,1.3,0.21,1,8,35,1,0,1,2,1,0,0,4,Orthodox,170.18,175.26,39,28
20,Blue,0,2,0,6.2,0.47,1.9,0.98,0.75,2,2,10,0,0,0,0,3,1,0,4,Southpaw,190.5,195.58,0,2,0,10.53,0.75,0.0,0.0,0.0,2,0,2,0,0,0,0,2,0,0,2,Southpaw,185.42,180.34,28,26
21,Blue,0,1,0,1.7,0.49,0.0,3.0,0.3,1,0,3,0,0,0,1,0,0,0,1,Southpaw,182.88,193.04,1,0,0,2.7,0.61,0.9,0.86,0.25,0,1,1,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,27,23
