name,date,wins,losses,draw,current_lose_streak,current_win_streak,avg_SIG_STR_landed,avg_SIG_STR_pct,avg_SUB_ATT,avg_TD_landed,avg_TD_pct,longest_win_streak,total_rounds_fought,total_title_bouts,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_DoctoStoppage,age,Stance,winratio,location
Aaron Phillips,2020-07-15,0,2,0,2,0,1.87,0.59,0.5,0.0,0.0,0,6,0,0,0,0,0,0,0,30,Southpaw,0.0,"Lafayette, LA USA"
Abdul Razak Alhassan,2021-08-28,4,4,0,3,0,3.71,0.48,0.0,0.53,0.28,3,14,0,0,0,0,4,0,0,36,Orthodox,0.5,"Fort Worth, Texas United States"
Abel Trujillo,2017-12-16,6,4,0,1,0,24.4,0.372,0.3,1.4,0.543,3,21,0,0,0,1,3,1,0,34,Orthodox,0.6,"Boca Raton, Florida United States"
Adam Milstead,2018-12-15,1,2,0,2,0,39.0,0.643333333,0.0,0.0,0.0,1,7,0,0,0,0,1,0,0,31,Orthodox,0.3333333333333333,"Pittsburgh, Pennsylvania United States"
Adriano Martins,2017-09-09,4,2,0,1,0,14.5,0.443333333,0.166666667,0.666666667,0.291666667,3,11,0,0,1,0,2,1,0,34,Southpaw,0.6666666666666666,"Manaus, Amazonas Brazil"
Aiemann Zahabi,2021-02-20,2,2,0,0,1,2.82,0.4,0.0,0.33,0.16,1,1,0,0,0,0,0,0,0,33,Orthodox,0.5,"Montreal, Quebec Canada"
Aisling Daly,2015-10-24,1,1,0,1,0,21.5,0.51,1.0,1.5,0.45,1,4,0,0,0,0,0,1,0,27,Switch,0.5,Dublin Ireland
Akbarh Arreola,2015-11-14,1,2,0,1,0,25.33333333,0.44,0.333333333,1.0,0.666666667,1,7,0,0,0,0,0,1,0,32,Southpaw,0.3333333333333333,"Tijuana, Baja California Mexico"
Akira Corassani,2015-01-24,3,2,0,2,0,25.8,0.452,0.0,0.4,0.066,3,10,0,0,1,1,0,0,0,32,Orthodox,0.6,"Brooklyn, New York USA"
Al Iaquinta,2019-10-05,9,4,0,1,0,4.06,0.4,0.2,0.64,0.18,5,38,1,0,1,4,4,0,0,32,Orthodox,0.6923076923076923,"Wantagh, New York USA"
Alan Jouban,2020-11-21,7,5,0,1,0,4.85,0.5,0.0,0.59,0.5,3,24,0,0,0,3,4,0,0,38,Southpaw,0.5833333333333334,"Los Angeles, California United States"
Alan Patrick,2020-09-12,5,2,0,1,0,1.88,0.43,0.4,3.92,0.4,3,18,0,0,0,4,1,0,0,37,Southpaw,0.7142857142857143,Rio de Janeiro Brazil
Albert Morales,2017-07-16,1,2,0,0,1,51.0,0.333333333,0.0,0.666666667,0.276666667,1,8,0,0,1,0,0,0,0,26,Orthodox,0.3333333333333333,"Reseda, California United States"
Albert Tumenov,2016-10-08,5,2,0,1,0,35.28571429,0.414285714,0.0,0.142857143,0.142857143,5,14,0,0,1,1,3,0,0,24,Orthodox,0.7142857142857143,"Fairfield, New Jersey USA"
Alberto Mina,2018-05-12,3,0,0,0,3,39.66666667,0.466666667,0.0,1.333333333,0.376666667,3,6,0,0,1,0,2,0,0,36,Orthodox,1.0,Hong Kong China
Alejandro Perez,2021-10-02,7,3,1,2,0,3.45,0.35,0.4,0.61,0.23,4,25,0,0,1,3,3,0,0,32,Orthodox,0.6363636363636364,"San Jose, California USA"
Aleksei Oleinik,2021-06-19,8,6,0,2,0,3.55,0.5,2.2,2.16,0.46,2,22,0,0,1,0,1,6,0,43,Orthodox,0.5714285714285714,Moscow Russia
Alessandro Ricci,2017-02-19,0,1,0,1,0,28.0,0.46,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,34,Orthodox,0.0,"Woodbridge, Ontario Canada"
Alessio Di Chirico,2021-08-28,4,5,0,0,1,3.3,0.41,0.0,1.62,0.45,2,22,0,0,2,0,2,0,0,31,Orthodox,0.4444444444444444,Rome Italy
Alex Caceres,2021-02-27,12,10,0,0,3,4.1,0.5,0.8,0.57,0.78,4,59,0,0,3,5,1,3,0,32,Southpaw,0.5454545454545454,"Miami, Florida United States"
Alex Chambers,2015-09-05,1,1,0,0,1,28.0,0.6,1.0,1.5,0.7,1,4,0,0,0,0,0,1,0,36,Switch,0.5,Sydney Australia
Alex Garcia,2018-10-27,5,4,0,1,0,20.55555556,0.32,0.111111111,3.111111111,0.465555556,2,22,0,0,1,1,2,1,0,31,Orthodox,0.5555555555555556,"Montreal, Quebec Canada"
Alex Morono,2021-09-04,8,4,0,0,1,5.14,0.42,0.4,0.38,0.25,3,30,0,0,1,4,2,1,0,31,Orthodox,0.6666666666666666,"Houston, Texas United States"
Alex Nicholson,2017-05-28,1,2,0,1,0,38.66666667,0.446666667,0.0,0.0,0.0,1,6,0,0,0,0,1,0,0,27,Orthodox,0.3333333333333333,"Orlando, Florida USA"
Alex Oliveira,2021-10-02,11,8,0,2,0,2.97,0.51,0.5,2.27,0.37,4,44,0,0,1,3,4,3,0,33,Orthodox,0.5789473684210527,"Tres Rios, Rio de Janeiro Brazil"
Alex White,2019-10-26,4,5,0,0,1,3.76,0.42,0.5,0.92,0.28,0,22,0,0,0,2,2,0,0,31,Southpaw,0.4444444444444444,"Farmington, MO USA"
Alexa Grasso,2021-02-13,4,3,0,0,1,5.35,0.42,0.5,0.32,0.4,1,19,0,0,1,3,0,0,0,27,Orthodox,0.5714285714285714,"Guadalajara, Jalisco Mexico"
Alexander Gustafsson,2020-07-25,10,6,0,2,0,4.02,0.4,0.4,1.56,0.39,6,42,3,0,0,3,5,2,0,33,Orthodox,0.625,Stockholm Sweden
Alexander Volkanovski,2021-09-25,9,0,0,0,9,6.42,0.56,0.3,1.77,0.34,9,28,2,0,1,5,3,0,0,32,Orthodox,1.0,"Windang, NSW Australia"
Alexander Volkov,2021-06-26,7,2,0,0,2,4.88,0.59,0.2,0.66,0.7,4,28,0,0,1,2,4,0,0,32,Orthodox,0.7777777777777778,Moscow Russia
Alexander Yakovlev,2020-10-24,3,5,0,1,0,1.79,0.47,0.2,1.56,0.33,2,20,0,0,0,1,1,1,0,36,Southpaw,0.375,"Fairfield, New Jersey USA"
Alexandra Albu,2019-10-26,2,1,0,1,0,4.83,0.47,0.4,2.27,0.5,2,6,0,0,0,1,0,1,0,29,Orthodox,0.6666666666666666,Moscow Russia
Alexandre Pantoja,2021-08-21,7,3,0,0,1,4.24,0.48,1.1,1.26,0.38,3,24,0,0,1,2,2,2,0,31,Orthodox,0.7,Arraial Do Cabo Brazil
Alexis Davis,2021-06-12,9,6,0,0,1,4.55,0.47,0.7,0.94,0.42,3,40,1,0,2,5,1,1,0,36,Orthodox,0.6,"San Jose, California USA"
Ali Bagautinov,2016-11-19,4,2,0,0,1,47.83333333,0.436666667,0.333333333,2.833333333,0.355,3,20,1,0,0,3,1,0,0,31,Orthodox,0.6666666666666666,Dagestan Republic Russia
Alistair Overeem,2021-02-06,33,15,0,0,2,3.71,0.64,0.8,1.44,0.56,11,83,1,1,0,4,20,8,0,40,Orthodox,0.6875,Amsterdam The Netherlands
Aljamain Sterling,2021-03-06,11,3,0,0,5,4.84,0.49,0.9,1.77,0.24,5,36,0,0,0,6,1,4,0,31,Orthodox,0.7857142857142857,"Uniondale, New York USA"
Alptekin Ozkilic,2014-07-16,1,1,0,1,0,43.5,0.27,0.0,6.0,0.82,1,6,0,0,1,0,0,0,0,28,Orthodox,0.5,"Long Island, NY USA"
Alvaro Herrera,2018-07-28,1,2,0,2,0,6.0,0.393333333,0.333333333,0.0,0.0,1,4,0,0,0,0,1,0,0,28,Orthodox,0.3333333333333333,Guadalajara Mexico
Amanda Cooper,2018-11-10,2,3,0,1,0,24.6,0.36,0.8,0.6,0.198,1,8,1,0,0,1,1,0,0,27,Switch,0.4,"Bath, Michigan United States"
Amanda Nunes,2021-03-06,14,2,0,0,11,4.5,0.51,0.9,2.5,0.53,11,37,8,0,1,3,8,2,0,32,Orthodox,0.875,"Miami, Florida USA"
Anderson Silva,2020-10-31,31,10,0,2,0,3.04,0.62,0.8,0.52,0.77,17,91,13,0,0,8,20,3,0,45,Southpaw,0.7560975609756098,Curitiba Brazil
Andre Fili,2020-10-31,9,6,0,0,1,3.9,0.36,0.2,2.71,0.49,2,37,0,0,2,4,3,0,0,30,Orthodox,0.6,"Sacramento, California USA"
Andre Soukhamthath,2019-08-31,2,4,0,1,0,2.77,0.44,0.2,1.25,0.53,1,17,0,0,0,1,1,0,0,30,Orthodox,0.3333333333333333,
Andreas Stahl,2015-12-10,0,1,0,1,0,41.0,0.36,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,27,Orthodox,0.0,Umea Sweden
Andrei Arlovski,2021-04-17,21,18,0,1,0,3.62,0.44,0.2,0.45,0.36,6,85,5,0,1,7,11,2,0,42,Orthodox,0.5384615384615384,"Chicago, Illinois USA"
Andrew Craig,2014-06-28,3,2,0,1,0,33.8,0.49,0.0,0.6,0.232,2,13,0,0,1,1,1,0,0,28,Orthodox,0.6,"Houston, TX USA"
Andrew Holbrook,2017-09-02,2,2,0,1,0,14.0,0.5425,1.25,0.5,0.25,1,8,0,0,2,0,0,0,0,31,Southpaw,0.5,"Indianapolis, Indiana USA"
Andrew Sanchez,2021-01-23,5,3,0,0,1,4.57,0.44,0.0,2.16,0.32,2,22,0,0,0,4,1,0,0,32,Orthodox,0.625,"Fairfield, New Jersey USA"
Andy Enz,2015-01-31,0,2,0,2,0,55.5,0.24,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0,23,Orthodox,0.0,"Anchorage, Alaska USA"
Andy Ogle,2014-05-31,1,3,0,2,0,29.75,0.47,0.0,1.5,0.48,1,12,0,0,0,1,0,0,0,25,Orthodox,0.25,Newcastle England
Angela Hill,2021-08-07,8,9,0,0,1,5.71,0.5,0.1,0.54,0.34,3,48,0,0,0,6,2,0,0,36,Orthodox,0.47058823529411764,"San Diego, California United States"
